"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"617","First 100 Days ni Pres DUTERTE, The Best of All President in the Philippines History - YouTube https://t.co/SzOPKZMN7Z",FALSE,0,NA,2016-10-07 10:48:31,FALSE,NA,"784344651452911616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shebnah",0,FALSE,FALSE,NA,NA
"618","Pres. Duterte: Drug campaign will not end",FALSE,1,"dwiz882",2016-10-07 10:47:34,FALSE,"784343701485006848","784344411438133249","173533146","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwiz882",0,FALSE,FALSE,NA,NA
"619","Pres. Duterte rates himself 6 out of 10. #100daysofDuterte | via jekkipascual",FALSE,0,NA,2016-10-07 10:47:19,FALSE,NA,"784344348053893120",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","showbizmaven",0,FALSE,FALSE,NA,NA
"620","Pres. Duterte on alleged people power plot to oust him: Be my guest. I do not give a sh*t. @gmanewsbreaking https://t.co/R3VZZgGzws",FALSE,3,NA,2016-10-07 10:47:04,FALSE,NA,"784344286183641088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cedric_castillo",1,FALSE,FALSE,NA,NA
"621","Nice one Pres. Duterte ikaw lang ang gumawa ng maayos sa ibang administrasyon #100DaysOfDuterte",FALSE,0,NA,2016-10-07 10:46:55,FALSE,NA,"784344246933344256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jericho_daria29",0,FALSE,FALSE,NA,NA
"622","RT @ABSCBNNews: Pres. Duterte rates himself 6 out of 10. #100daysofDuterte | via @jekkipascual",FALSE,0,NA,2016-10-07 10:46:10,FALSE,NA,"784344056415465472",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DZMMTeleRadyo",3,TRUE,FALSE,NA,NA
"623","RT @PTVph: BALITA: Pres. Duterte, iginiit na hindi kawalan kung babawiin ng U.S. ang assistance sa Pilipinas
https://t.co/K6egVjAqxC",FALSE,0,NA,2016-10-07 10:45:56,FALSE,NA,"784343997959372800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","coffeejellyace9",6,TRUE,FALSE,NA,NA
"624","Matagal na rin pong hiningi ni Pres.Duterte sa kanyang cabinet secretaries na bumuo ng programa para sa mga drug ad… https://t.co/VLBJbeYwwv",FALSE,0,NA,2016-10-07 10:45:55,TRUE,NA,"784343994599809028",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JosFin75",0,FALSE,FALSE,NA,NA
"625","Pres. Duterte rates himself 6 out of 10. #100daysofDuterte | via @jekkipascual",FALSE,9,"ABSCBNNews",2016-10-07 10:45:53,FALSE,"784343805000491008","784343985531695105","15872418","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ABSCBNNews",3,FALSE,FALSE,NA,NA
"626","RT @ABSCBNNews: HAPPENING NOW: Pres. Duterte attends the National Banana Congress 2016 in Lanang, Davao City | via @PresidentialCom https:/…",FALSE,0,NA,2016-10-07 10:45:48,FALSE,NA,"784343965998780416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DCheesebrough",17,TRUE,FALSE,NA,NA
"627","@JoyyyV It's still just the first 100 days though. We're hoping for a better Philppines for the next years. High hopes for Pres. Duterte!",FALSE,1,"JoyyyV",2016-10-07 10:45:29,FALSE,"784258642757378048","784343887431163904","3942782293","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluemechi",0,FALSE,FALSE,NA,NA
"628","#Now Pres. Duterte nagbibigay ng speech sa program launch ng Go Negosyo sa Davao City",FALSE,1,NA,2016-10-07 10:44:45,FALSE,NA,"784343701485006848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwiz882",0,FALSE,FALSE,NA,NA
"629","RT @PTVph: BALITA: Pres. Duterte, iginiit na hindi kawalan kung babawiin ng U.S. ang assistance sa Pilipinas
https://t.co/K6egVjAqxC",FALSE,0,NA,2016-10-07 10:44:43,FALSE,NA,"784343691540389888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","esoj36",6,TRUE,FALSE,NA,NA
