"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"856","RT @mcmorco: Duterte is not poetry. Duterte is not allegory. Duterte is not Scripture. Those things need interpretation. A president's word…",FALSE,0,NA,2016-10-08 09:56:59,FALSE,NA,"784694067862999040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","percyuan",185,TRUE,FALSE,NA,NA
"857","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US   https://t.co/fNrxXpX5qq",FALSE,0,NA,2016-10-08 09:56:22,FALSE,NA,"784693912061575169",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Zahraaq88",0,FALSE,FALSE,NA,NA
"858","RT @mindavote: 100 days of non-stop action from the working President, Rodrigo Duterte... https://t.co/GVNnjYejoo",FALSE,0,NA,2016-10-08 09:55:58,FALSE,NA,"784693813839142912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NilaSas",3,TRUE,FALSE,NA,NA
"859","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/wwoB2rzbeE",FALSE,0,NA,2016-10-08 09:53:56,FALSE,NA,"784693302931124225",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","JetteSvensson1",0,FALSE,FALSE,NA,NA
"860","Yasay said the president was ""compelled to realign"" PH foreign policy and not submit to US demands and interests. https://t.co/9MaT2WIrEd …",FALSE,0,NA,2016-10-08 09:53:33,FALSE,NA,"784693204591349761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PHINews1",0,FALSE,FALSE,NA,NA
"861","RT @spiceemedia: Rodrigo #Duterte, le président qui traite #Obama de fils de pute et qui donne un permis de tuer aux citoyens https://t.co/…",FALSE,0,NA,2016-10-08 09:53:31,FALSE,NA,"784693194340589572",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MANGADO1",6,TRUE,FALSE,NA,NA
"862","What could be that magic ace of President Duterte in yielding “very good” satisfaction ratings? #TheFilipinoTimes https://t.co/tGwJ6xVBWk",FALSE,0,NA,2016-10-08 09:53:12,FALSE,NA,"784693115248599040",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","FilipinoTimes",0,FALSE,FALSE,NA,NA
"863","RT @SuperficialGZT: Today, we celebrate #100DaysofChange with beloved President Rodrigo Duterte. #PresidentDuterte #Duterte #100DaysOfDuter…",FALSE,0,NA,2016-10-08 09:52:50,FALSE,NA,"784693025020739584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClaudeUbanan",14,TRUE,FALSE,NA,NA
"864","#news ‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/4eIULZbKaD",FALSE,0,NA,2016-10-08 09:52:23,FALSE,NA,"784692910637875201",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Lindalam360",0,FALSE,FALSE,NA,NA
"865","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US https://t.co/U2JXSOBVz6",FALSE,0,NA,2016-10-08 09:51:53,FALSE,NA,"784692785001758724",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NewsareNet",0,FALSE,FALSE,NA,NA
